id,depth_pos,depth_m,depth_cm,def1,season,year,site,depth,core,mag.vec,duration
136,501,-0.02,2,0,activelayer,1,TOOL,501,1,0.1,24
138,501,-0.02,2,3,activelayer,1,TOOL,501,3,0.1,24
139,501,-0.02,2,3,activelayer,1,TOOL,501,4,0.1,24
141,502,-0.06,6,3,activelayer,1,TOOL,502,1,0.1,24
143,502,-0.06,6,3,activelayer,1,TOOL,502,3,0.1,24
144,502,-0.06,6,0,activelayer,1,TOOL,502,4,0.1,24
146,503,-0.16,16,0,activelayer,1,TOOL,503,1,0.1,24
148,503,-0.16,16,2,activelayer,1,TOOL,503,3,0.1,24
149,503,-0.16,16,0,activelayer,1,TOOL,503,4,0.1,24
151,504,-0.26,26,0,activelayer,1,TOOL,504,3,0.1,24
152,504,-0.26,26,0,activelayer,1,TOOL,504,4,0.1,24
154,505,-0.36,36,0,activelayer,1,TOOL,505,3,0.1,24
155,505,-0.36,36,0,activelayer,1,TOOL,505,4,0.1,24
157,506,-0.46,46,0,activelayer,1,TOOL,506,3,0.1,24
158,506,-0.46,46,0,activelayer,1,TOOL,506,4,0.1,24
159,507,-0.56,56,0,activelayer,1,TOOL,507,2,0.1,24
160,507,-0.56,56,0,activelayer,1,TOOL,507,3,0.1,24
161,507,-0.56,56,0,activelayer,1,TOOL,507,4,0.1,24
297,501,-0.02,2,1,activelayer,2,TOOL,501,1,0.1,24
298,501,-0.02,2,3,activelayer,2,TOOL,501,2,0.1,24
299,501,-0.02,2,4,activelayer,2,TOOL,501,3,0.1,24
300,501,-0.02,2,4,activelayer,2,TOOL,501,4,0.1,24
301,501,-0.02,2,2,activelayer,2,TOOL,501,5,0.1,24
302,502,-0.06,6,0,activelayer,2,TOOL,502,1,0.1,24
303,502,-0.06,6,2,activelayer,2,TOOL,502,2,0.1,24
304,502,-0.06,6,4,activelayer,2,TOOL,502,3,0.1,24
305,502,-0.06,6,0,activelayer,2,TOOL,502,4,0.1,24
306,502,-0.06,6,0,activelayer,2,TOOL,502,5,0.1,24
307,503,-0.16,16,0,activelayer,2,TOOL,503,1,0.1,24
308,503,-0.16,16,0,activelayer,2,TOOL,503,2,0.1,24
309,503,-0.16,16,0,activelayer,2,TOOL,503,3,0.1,24
310,503,-0.16,16,0,activelayer,2,TOOL,503,4,0.1,24
311,504,-0.26,26,0,activelayer,2,TOOL,504,2,0.1,24
313,504,-0.26,26,0,activelayer,2,TOOL,504,4,0.1,24
314,505,-0.36,36,0,activelayer,2,TOOL,505,2,0.1,24
315,505,-0.36,36,0,activelayer,2,TOOL,505,3,0.1,24
316,505,-0.36,36,0,activelayer,2,TOOL,505,4,0.1,24
317,506,-0.46,46,0,activelayer,2,TOOL,506,2,0.1,24
318,506,-0.46,46,0,activelayer,2,TOOL,506,3,0.1,24
319,506,-0.46,46,0,activelayer,2,TOOL,506,4,0.1,24
320,507,-0.56,56,0,activelayer,2,TOOL,507,2,0.1,24
321,507,-0.56,56,0,activelayer,2,TOOL,507,3,0.1,24
322,507,-0.56,56,0,activelayer,2,TOOL,507,4,0.1,24
1746,501,-0.02,2,0,activelayer,1,TOOL,501,1,0.1,1
1748,501,-0.02,2,26,activelayer,1,TOOL,501,3,0.1,1
1749,501,-0.02,2,10,activelayer,1,TOOL,501,4,0.1,1
1751,502,-0.06,6,4,activelayer,1,TOOL,502,1,0.1,1
1753,502,-0.06,6,18,activelayer,1,TOOL,502,3,0.1,1
1754,502,-0.06,6,3,activelayer,1,TOOL,502,4,0.1,1
1756,503,-0.16,16,0,activelayer,1,TOOL,503,1,0.1,1
1758,503,-0.16,16,9,activelayer,1,TOOL,503,3,0.1,1
1759,503,-0.16,16,0,activelayer,1,TOOL,503,4,0.1,1
1761,504,-0.26,26,0,activelayer,1,TOOL,504,3,0.1,1
1762,504,-0.26,26,0,activelayer,1,TOOL,504,4,0.1,1
1764,505,-0.36,36,0,activelayer,1,TOOL,505,3,0.1,1
1765,505,-0.36,36,0,activelayer,1,TOOL,505,4,0.1,1
1767,506,-0.46,46,0,activelayer,1,TOOL,506,3,0.1,1
1768,506,-0.46,46,0,activelayer,1,TOOL,506,4,0.1,1
1769,507,-0.56,56,0,activelayer,1,TOOL,507,2,0.1,1
1770,507,-0.56,56,0,activelayer,1,TOOL,507,3,0.1,1
1771,507,-0.56,56,0,activelayer,1,TOOL,507,4,0.1,1
1907,501,-0.02,2,1,activelayer,2,TOOL,501,1,0.1,1
1908,501,-0.02,2,8,activelayer,2,TOOL,501,2,0.1,1
1909,501,-0.02,2,18,activelayer,2,TOOL,501,3,0.1,1
1910,501,-0.02,2,10,activelayer,2,TOOL,501,4,0.1,1
1911,501,-0.02,2,7,activelayer,2,TOOL,501,5,0.1,1
1912,502,-0.06,6,0,activelayer,2,TOOL,502,1,0.1,1
1913,502,-0.06,6,6,activelayer,2,TOOL,502,2,0.1,1
1914,502,-0.06,6,11,activelayer,2,TOOL,502,3,0.1,1
1915,502,-0.06,6,3,activelayer,2,TOOL,502,4,0.1,1
1916,502,-0.06,6,2,activelayer,2,TOOL,502,5,0.1,1
1917,503,-0.16,16,0,activelayer,2,TOOL,503,1,0.1,1
1918,503,-0.16,16,0,activelayer,2,TOOL,503,2,0.1,1
1919,503,-0.16,16,0,activelayer,2,TOOL,503,3,0.1,1
1920,503,-0.16,16,0,activelayer,2,TOOL,503,4,0.1,1
1921,504,-0.26,26,0,activelayer,2,TOOL,504,2,0.1,1
1923,504,-0.26,26,0,activelayer,2,TOOL,504,4,0.1,1
1924,505,-0.36,36,0,activelayer,2,TOOL,505,2,0.1,1
1925,505,-0.36,36,0,activelayer,2,TOOL,505,3,0.1,1
1926,505,-0.36,36,0,activelayer,2,TOOL,505,4,0.1,1
1927,506,-0.46,46,0,activelayer,2,TOOL,506,2,0.1,1
1928,506,-0.46,46,0,activelayer,2,TOOL,506,3,0.1,1
1929,506,-0.46,46,0,activelayer,2,TOOL,506,4,0.1,1
1930,507,-0.56,56,0,activelayer,2,TOOL,507,2,0.1,1
1931,507,-0.56,56,0,activelayer,2,TOOL,507,3,0.1,1
1932,507,-0.56,56,0,activelayer,2,TOOL,507,4,0.1,1
3356,501,-0.02,2,0,activelayer,1,TOOL,501,1,0.5,24
3358,501,-0.02,2,3,activelayer,1,TOOL,501,3,0.5,24
3359,501,-0.02,2,0,activelayer,1,TOOL,501,4,0.5,24
3361,502,-0.06,6,0,activelayer,1,TOOL,502,1,0.5,24
3363,502,-0.06,6,3,activelayer,1,TOOL,502,3,0.5,24
3364,502,-0.06,6,0,activelayer,1,TOOL,502,4,0.5,24
