,X,column_names,site_pos,core_pos,depth_pos,depth_m,Label,Def1,season,year,site,depth,core,mag.vec,duration
162,162,BARR_501_001,BARR,1,501,-0.02,Keep,2,activelayer,2,BARR,501,1,0.1,24
163,163,BARR_501_002,BARR,2,501,-0.02,Keep,2,activelayer,2,BARR,501,2,0.1,24
164,164,BARR_501_003,BARR,3,501,-0.01,Keep,1,activelayer,2,BARR,501,3,0.1,24
165,165,BARR_501_004,BARR,4,501,-0.02,Exclude,NA,activelayer,2,BARR,501,4,0.1,24
166,166,BARR_501_005,BARR,5,501,-0.02,Keep,5,activelayer,2,BARR,501,5,0.1,24
167,167,BARR_502_001,BARR,1,502,-0.06,Keep,3,activelayer,2,BARR,502,1,0.1,24
168,168,BARR_502_002,BARR,2,502,-0.06,Keep,2,activelayer,2,BARR,502,2,0.1,24
169,169,BARR_502_003,BARR,3,502,-0.05,Keep,3,activelayer,2,BARR,502,3,0.1,24
170,170,BARR_502_004,BARR,4,502,-0.06,Keep,2,activelayer,2,BARR,502,4,0.1,24
171,171,BARR_502_005,BARR,5,502,-0.06,Keep,4,activelayer,2,BARR,502,5,0.1,24
172,172,BARR_503_001,BARR,1,503,-0.16,Exclude,NA,activelayer,2,BARR,503,1,0.1,24
173,173,BARR_503_002,BARR,2,503,-0.16,Exclude,NA,activelayer,2,BARR,503,2,0.1,24
174,174,BARR_503_003,BARR,3,503,-0.15,Keep,0,activelayer,2,BARR,503,3,0.1,24
175,175,BARR_503_004,BARR,4,503,-0.16,Keep,0,activelayer,2,BARR,503,4,0.1,24
176,176,BARR_503_005,BARR,5,503,-0.16,Keep,2,activelayer,2,BARR,503,5,0.1,24
177,177,BARR_504_001,BARR,1,504,-0.26,Keep,0,activelayer,2,BARR,504,1,0.1,24
178,178,BARR_504_002,BARR,2,504,-0.26,Exclude,NA,activelayer,2,BARR,504,2,0.1,24
179,179,BARR_504_003,BARR,3,504,-0.25,Keep,0,activelayer,2,BARR,504,3,0.1,24
180,180,BARR_504_004,BARR,4,504,-0.26,Keep,0,activelayer,2,BARR,504,4,0.1,24
181,181,BARR_504_005,BARR,5,504,-0.26,Keep,0,activelayer,2,BARR,504,5,0.1,24
182,182,BARR_505_001,BARR,1,505,-0.36,Keep,0,activelayer,2,BARR,505,1,0.1,24
183,183,BARR_505_002,BARR,2,505,-0.36,Exclude,NA,activelayer,2,BARR,505,2,0.1,24
184,184,BARR_505_003,BARR,3,505,-0.35,Keep,0,activelayer,2,BARR,505,3,0.1,24
185,185,BARR_505_004,BARR,4,505,-0.36,Keep,0,activelayer,2,BARR,505,4,0.1,24
186,186,BARR_505_005,BARR,5,505,-0.36,Keep,0,activelayer,2,BARR,505,5,0.1,24
187,187,BARR_506_001,BARR,1,506,-0.56,Keep,0,activelayer,2,BARR,506,1,0.1,24
188,188,BARR_506_002,BARR,2,506,-0.56,Keep,0,activelayer,2,BARR,506,2,0.1,24
189,189,BARR_506_003,BARR,3,506,-0.55,Keep,0,activelayer,2,BARR,506,3,0.1,24
190,190,BARR_506_004,BARR,4,506,-0.56,Keep,0,activelayer,2,BARR,506,4,0.1,24
191,191,BARR_506_005,BARR,5,506,-0.56,Exclude,NA,activelayer,2,BARR,506,5,0.1,24
192,192,BARR_507_001,BARR,1,507,-0.86,Keep,0,activelayer,2,BARR,507,1,0.1,24
193,193,BARR_507_002,BARR,2,507,-0.86,Keep,0,activelayer,2,BARR,507,2,0.1,24
194,194,BARR_507_003,BARR,3,507,-0.85,Keep,0,activelayer,2,BARR,507,3,0.1,24
195,195,BARR_507_004,BARR,4,507,-0.86,Keep,0,activelayer,2,BARR,507,4,0.1,24
196,196,BARR_507_005,BARR,5,507,-0.86,Keep,0,activelayer,2,BARR,507,5,0.1,24
197,197,BARR_508_001,BARR,1,508,-1.36,Keep,0,activelayer,2,BARR,508,1,0.1,24
198,198,BARR_508_002,BARR,2,508,-1.36,Keep,0,activelayer,2,BARR,508,2,0.1,24
199,199,BARR_508_003,BARR,3,508,-1.35,Keep,0,activelayer,2,BARR,508,3,0.1,24
200,200,BARR_508_004,BARR,4,508,-1.36,Keep,0,activelayer,2,BARR,508,4,0.1,24
201,201,BARR_508_005,BARR,5,508,-1.36,Keep,0,activelayer,2,BARR,508,5,0.1,24
202,202,BARR_509_001,BARR,1,509,-1.76,Keep,0,activelayer,2,BARR,509,1,0.1,24
203,203,BARR_509_002,BARR,2,509,-2.26,Keep,0,activelayer,2,BARR,509,2,0.1,24
204,204,BARR_509_003,BARR,3,509,-1.75,Keep,0,activelayer,2,BARR,509,3,0.1,24
205,205,BARR_509_004,BARR,4,509,-1.96,Keep,0,activelayer,2,BARR,509,4,0.1,24
206,206,BARR_509_005,BARR,5,509,-1.86,Keep,0,activelayer,2,BARR,509,5,0.1,24
207,207,BONA_501_001,BONA,1,501,-0.02,Keep,6,activelayer,2,BONA,501,1,0.1,24
208,208,BONA_501_002,BONA,2,501,-0.01,Keep,5,activelayer,2,BONA,501,2,0.1,24
209,209,BONA_501_003,BONA,3,501,-0.02,Keep,6,activelayer,2,BONA,501,3,0.1,24
210,210,BONA_501_004,BONA,4,501,-0.02,Keep,4,activelayer,2,BONA,501,4,0.1,24
211,211,BONA_501_005,BONA,5,501,-0.03,Keep,4,activelayer,2,BONA,501,5,0.1,24
212,212,BONA_502_001,BONA,1,502,-0.06,Keep,6,activelayer,2,BONA,502,1,0.1,24
213,213,BONA_502_002,BONA,2,502,-0.05,Keep,4,activelayer,2,BONA,502,2,0.1,24
214,214,BONA_502_003,BONA,3,502,-0.06,Keep,4,activelayer,2,BONA,502,3,0.1,24
215,215,BONA_502_004,BONA,4,502,-0.06,Keep,4,activelayer,2,BONA,502,4,0.1,24
216,216,BONA_502_005,BONA,5,502,-0.07,Keep,4,activelayer,2,BONA,502,5,0.1,24
217,217,BONA_503_001,BONA,1,503,-0.16,Keep,4,activelayer,2,BONA,503,1,0.1,24
218,218,BONA_503_002,BONA,2,503,-0.15,Keep,3,activelayer,2,BONA,503,2,0.1,24
219,219,BONA_503_003,BONA,3,503,-0.16,Keep,4,activelayer,2,BONA,503,3,0.1,24
220,220,BONA_503_004,BONA,4,503,-0.16,Keep,2,activelayer,2,BONA,503,4,0.1,24
221,221,BONA_503_005,BONA,5,503,-0.17,Keep,3,activelayer,2,BONA,503,5,0.1,24
222,222,BONA_504_001,BONA,1,504,-0.26,Keep,2,activelayer,2,BONA,504,1,0.1,24
223,223,BONA_504_002,BONA,2,504,-0.25,Keep,3,activelayer,2,BONA,504,2,0.1,24
224,224,BONA_504_003,BONA,3,504,-0.26,Keep,4,activelayer,2,BONA,504,3,0.1,24
225,225,BONA_504_004,BONA,4,504,-0.26,Keep,3,activelayer,2,BONA,504,4,0.1,24
